School,Pace,3PAr,TRB%,STL%,TOV%,ORB%
Longwood NCAA,67.8,.367,55.1,11.3,14.9,34.6
Louisiana,70.5,.368,53.4,9.6,18.5,33.3
Louisiana-Monroe,69.7,.351,46.7,10.2,16.0,25.8
LSU NCAA,70.6,.346,51.4,15.6,17.5,33.8
Louisiana Tech,70.0,.413,50.3,9.3,14.6,26.5
Louisville,67.5,.422,50.8,9.0,15.7,27.3
Loyola Chicago NCAA,65.8,.428,52.4,10.3,16.3,25.1
Loyola Marymount,67.5,.385,47.9,8.0,17.5,24.7
Loyola (MD),66.7,.384,49.0,11.6,17.2,24.7
Maine,66.6,.385,46.9,10.8,16.8,25.0
Manhattan,69.5,.332,49.7,10.2,18.0,30.2
Marist,66.9,.377,50.0,8.6,16.0,26.4
Marquette NCAA,71.4,.417,47.1,10.9,15.7,22.4
Marshall,73.3,.394,49.3,9.2,15.6,27.8
Maryland-Baltimore County,68.8,.425,47.5,6.9,14.3,21.9
Maryland-Eastern Shore,70.1,.426,49.4,14.2,18.9,29.4
Maryland,67.4,.372,50.1,9.4,14.7,27.3
Massachusetts-Lowell,68.9,.320,50.8,10.5,15.5,29.5
Massachusetts,69.2,.431,49.0,9.2,14.4,29.3
McNeese State,74.2,.329,53.9,10.3,18.1,36.1
Memphis NCAA,71.4,.308,54.3,12.2,19.5,37.5
Mercer,66.3,.422,50.6,9.2,16.5,25.3
Merrimack,64.0,.404,42.9,14.0,16.4,22.2
Miami FL NCAA,67.5,.359,46.9,12.9,12.8,23.4
Miami (OH),68.9,.426,48.7,8.0,13.1,27.2
Michigan State NCAA,68.1,.334,53.2,8.6,16.7,30.7
Michigan NCAA,67.5,.323,54.2,7.1,14.9,31.2
Middle Tennessee,68.8,.431,51.0,11.5,16.4,30.6
Milwaukee,68.0,.348,49.3,7.2,17.2,25.9
Minnesota,65.5,.374,45.0,8.1,12.7,17.5
Mississippi State,66.6,.281,54.3,11.7,16.7,34.1
Mississippi Valley State,72.5,.380,42.3,9.9,16.0,23.3
Mississippi,67.0,.373,49.4,10.5,15.9,26.7
Kansas City,70.2,.344,48.5,10.6,13.7,20.4
Missouri State,68.1,.382,52.2,7.8,13.9,25.1
Missouri,67.4,.328,51.2,9.6,18.3,32.0
Monmouth,67.1,.340,50.9,9.3,15.0,29.4
Montana State NCAA,69.6,.372,53.4,7.4,16.2,27.3
Montana,67.5,.366,47.5,8.1,13.8,19.5
Morehead State,66.6,.413,52.6,8.8,17.5,31.2
Morgan State,75.7,.311,50.4,11.1,17.5,31.4
Mount St. Mary's,65.3,.305,51.5,8.7,16.9,31.4
Murray State NCAA,68.3,.376,55.9,11.6,14.1,36.0
Navy,64.7,.315,54.3,10.8,16.7,33.7
Omaha,71.4,.341,46.9,6.7,17.1,24.2
Nebraska,72.0,.374,45.2,9.8,15.6,20.5
Nevada-Las Vegas,67.0,.425,50.8,9.1,14.5,27.1
Nevada,71.2,.363,50.2,9.0,16.6,24.5
New Hampshire,63.6,.412,53.1,7.3,12.4,28.8
New Mexico State NCAA,68.5,.425,55.2,7.4,17.5,33.7
New Mexico,71.5,.377,47.4,8.7,14.5,23.8
New Orleans,74.7,.225,49.1,10.4,16.8,26.3
Niagara,65.7,.361,48.7,8.5,14.7,23.2
Nicholls State,72.5,.379,50.9,11.3,14.5,31.5
NJIT,67.3,.355,47.9,8.9,16.8,23.0
Norfolk State NCAA,71.1,.355,53.7,9.4,17.2,30.5
North Alabama,70.6,.413,48.2,9.6,14.5,27.5
UNC Asheville,67.7,.403,48.5,9.3,15.6,27.5
North Carolina A&T,68.5,.341,49.3,11.3,15.9,29.9
North Carolina Central,70.9,.336,52.3,12.2,18.8,33.5
UNC Greensboro,63.3,.390,54.2,10.0,17.6,33.3
NC State,67.9,.393,48.1,10.2,12.4,30.2
UNC Wilmington,66.7,.369,47.6,11.3,13.4,28.6
North Carolina NCAA,70.2,.375,55.4,7.7,14.4,30.4
North Dakota State,68.2,.373,53.4,5.6,15.0,25.3
North Dakota,69.4,.441,49.4,5.7,15.0,26.6
North Florida,69.1,.501,46.2,8.0,18.5,26.2
North Texas,60.9,.424,53.6,10.9,16.1,32.2
Northeastern,65.4,.405,51.6,7.1,18.9,26.3
Northern Arizona,67.8,.419,52.2,6.6,17.1,28.6
Northern Colorado,70.9,.462,50.4,5.8,15.6,22.5
Northern Illinois,68.6,.335,47.1,9.1,17.7,24.3
Northern Iowa,67.5,.435,50.1,8.4,14.6,21.2
Northern Kentucky,65.6,.432,51.9,13.6,16.6,35.3
Northwestern State,73.2,.338,48.5,8.7,16.6,29.3
Northwestern,68.8,.387,49.3,9.3,12.3,25.4
Notre Dame NCAA,65.8,.423,50.3,7.7,13.8,22.5
Oakland,69.0,.414,49.4,13.0,15.3,31.4
Ohio State NCAA,65.4,.397,51.8,6.7,14.8,28.8
Ohio,68.9,.456,49.4,10.9,13.3,27.2
Oklahoma State,68.8,.314,50.8,12.1,18.4,32.3
Oklahoma,66.2,.411,50.9,11.1,19.7,25.8
Old Dominion,65.7,.265,52.5,9.7,15.3,32.2
Oral Roberts,72.2,.462,52.8,7.6,11.9,28.4
Oregon State,67.8,.308,45.7,8.7,16.1,26.2
Oregon,68.6,.359,49.8,9.9,14.8,29.7
Pacific,69.5,.335,48.8,9.2,15.8,22.7
Penn State,62.8,.426,53.0,8.3,16.2,28.6
Pennsylvania,69.0,.403,48.8,7.9,15.0,25.2
Pepperdine,71.7,.352,47.6,7.8,17.9,26.6
Pittsburgh,64.2,.336,52.1,8.4,18.4,30.5
Portland State,72.2,.336,47.1,12.8,14.9,27.3
Portland,71.9,.380,50.6,6.9,16.3,24.0
Prairie View,71.8,.327,49.2,11.7,20.8,31.7
Presbyterian,66.5,.360,53.1,11.5,16.7,33.9
Princeton,68.7,.453,51.4,8.9,12.9,25.8
Providence NCAA,66.0,.381,52.1,7.5,15.0,30.5
Purdue NCAA,66.6,.391,57.0,6.9,14.8,35.2
Quinnipiac,69.3,.438,50.7,9.1,16.3,28.7
Radford,65.4,.408,50.3,10.0,18.0,28.9
Rhode Island,68.2,.292,51.5,10.8,18.3,28.6
Rice,68.5,.429,50.7,7.4,15.9,26.2
Richmond NCAA,67.5,.421,47.7,11.6,13.0,22.4
Rider,68.3,.286,50.5,9.9,14.8,29.3
Robert Morris,67.7,.319,49.3,8.8,18.4,28.5
Rutgers NCAA,65.5,.316,51.4,10.6,15.0,29.6
Sacramento State,66.4,.338,46.5,8.9,14.9,22.4
Sacred Heart,69.3,.390,50.9,7.8,17.0,31.8
Saint Francis (PA),68.9,.311,49.3,9.4,15.5,31.0
Saint Joseph's,68.5,.449,51.7,7.1,17.1,27.0
Saint Louis,69.0,.306,54.5,9.2,15.7,34.4
Saint Mary's NCAA,65.7,.362,53.3,10.7,15.3,27.8
Saint Peter's NCAA,66.9,.304,52.2,10.8,17.7,32.0
Sam Houston State,68.8,.422,52.2,11.0,15.8,27.9
Samford,70.5,.435,51.1,10.5,16.8,30.6
San Diego State NCAA,65.2,.308,51.8,11.4,16.8,29.6
San Diego,67.4,.283,50.6,7.5,16.1,27.0
San Francisco NCAA,70.9,.450,53.7,10.9,15.8,30.4
San Jose State,66.3,.451,46.2,7.8,17.7,22.4
Santa Clara,71.4,.321,50.4,8.3,14.7,22.8
Seattle,71.8,.458,50.3,9.6,14.1,26.4
Seton Hall NCAA,68.8,.358,52.2,10.2,14.7,33.0
Siena,67.2,.340,48.2,9.1,16.5,24.5
South Alabama,67.6,.356,49.7,10.1,16.2,29.0
South Carolina State,73.7,.324,52.9,8.9,16.4,35.7
South Carolina Upstate,69.5,.385,47.3,9.1,16.4,22.2
South Carolina,72.2,.349,51.3,10.8,17.8,34.3
South Dakota State NCAA,71.9,.353,53.0,8.4,13.8,24.4
South Dakota,67.5,.332,52.9,6.5,13.0,27.1
South Florida,65.9,.306,50.0,9.4,16.2,29.6
Southeast Missouri State,72.6,.436,48.1,8.9,16.1,25.7
Southeastern Louisiana,73.4,.426,47.5,10.8,17.3,27.0
USC NCAA,67.5,.320,54.2,7.5,15.1,33.8
SIU Edwardsville,69.1,.350,51.4,10.2,18.4,34.1
Southern Illinois,62.9,.422,49.6,8.7,16.3,22.7
Southern Methodist,69.5,.424,50.8,9.1,15.7,27.8
Southern Mississippi,68.3,.303,48.0,7.3,17.3,23.6
Southern Utah,71.2,.408,53.2,8.7,15.2,28.8
Southern,72.1,.336,47.7,14.5,17.7,27.7
St. Bonaventure,66.6,.314,50.3,9.6,13.9,27.3
St. Francis (NY),68.2,.366,49.4,9.7,15.4,30.0
St. John's (NY),74.2,.324,49.3,11.8,13.7,30.7
St. Thomas (MN),68.2,.515,45.5,7.6,10.8,18.0
Stanford,66.8,.387,55.1,8.3,19.1,33.8
Stephen F. Austin,71.9,.309,52.2,12.5,19.6,34.7
Stetson,67.5,.410,51.0,10.3,16.4,29.6
Stony Brook,68.6,.403,48.8,9.7,13.5,27.0
Syracuse,68.5,.392,49.0,10.0,13.3,29.2
Tarleton State,65.7,.304,47.1,11.6,16.2,28.0
Temple,67.1,.382,51.7,10.0,15.7,32.7
Tennessee-Martin,70.6,.373,49.5,9.4,16.2,30.5
Tennessee State,69.8,.326,51.1,9.6,17.2,30.3
Tennessee Tech,70.6,.328,50.9,10.2,16.0,31.6
Tennessee NCAA,68.7,.406,52.3,13.4,15.3,32.8
Texas A&M Corpus Chris NCAA,72.3,.313,53.0,11.7,16.5,34.6
Texas A&M,68.7,.350,50.4,14.6,16.4,34.5
UT Arlington,66.5,.346,50.1,11.4,17.4,31.6
TCU NCAA,67.1,.319,56.1,9.3,18.1,37.8
UTEP,67.9,.378,46.7,11.0,15.4,23.4
Texas-Rio Grande Valley,73.2,.374,47.2,7.1,18.8,25.1
UTSA,70.0,.338,50.9,8.1,15.2,31.0
Texas Southern NCAA,69.6,.311,53.5,7.9,18.2,33.4
Texas State,65.6,.306,51.9,9.8,16.3,31.6
Texas Tech NCAA,67.5,.344,54.6,12.0,17.6,33.3
Texas NCAA,64.3,.360,51.1,11.9,15.7,31.8
Toledo,70.3,.313,53.2,7.9,12.6,30.3
Towson,66.2,.382,54.5,10.9,15.2,35.2
Troy,69.0,.403,52.6,11.3,18.7,31.9
Tulane,69.3,.386,44.7,11.3,13.7,19.9
Tulsa,67.3,.361,48.4,10.2,16.8,26.7
UCLA NCAA,67.1,.315,52.8,10.3,11.4,32.0
Utah State,67.3,.402,53.0,9.0,16.2,26.3
Utah Valley,68.2,.313,55.8,7.9,19.2,32.8
Utah,67.2,.394,50.2,6.8,15.6,29.3
Valparaiso,67.4,.380,49.2,9.2,14.7,16.9
Vanderbilt,69.2,.459,49.4,10.6,16.9,27.5
Vermont NCAA,65.1,.430,55.0,8.0,13.4,24.6
Villanova NCAA,64.2,.460,51.9,9.7,13.4,30.9
Virginia Commonwealth,68.4,.297,48.5,13.4,19.5,26.6
VMI,69.0,.549,49.7,6.8,14.6,24.3
